new,host,a,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,caa,aaaa
[x],transferwise.com,"104.18.167.45, 104.18.168.45","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx3.googlemail.com, aspmx2.googlemail.com, alt1.aspmx.l.google.com","hope.ns.cloudflare.com, sean.ns.cloudflare.com",,,
[x],twcard-ext.transferwise.com,,"hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],twcard.transferwise.com,"104.18.168.45, 104.18.167.45","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],visa.twcard-ext.transferwise.com,"3.122.64.158, 3.76.178.224, 3.72.203.134","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,production-kubernetes-pkt2nor0-4bf91539834a4997.elb.eu-central-1.amazonaws.com,,,,,
[x],vpn.transferwise.com,,"hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,9570jrdxnd7kbs7x89cj2rkmvf92rzjv,,
[x],widgets.transferwise.com,"104.18.168.45, 104.18.167.45","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],widgets.wise.com,"104.18.16.28, 104.18.17.28","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],wise.com,"104.18.16.28, 104.18.17.28","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"aspmx3.googlemail.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com",,"-s1BbtIYreC4lq4dgfRT5GiU7a1dedI, 504C2B4451, apple-domain-verification=EWgLjCOD6s5vRQpA, hj-ownership=qEgZz25Gsd, onetrust-domain-verification=c2a93902121749aeaf62878141c01855, ZOOM_verify_tdC0oyKB1A8JIXpFnfvqiW, slack-domain-verification=2AwdExVveDlH69b6JiYv9YtOFmihbhR6PJUGxe7h, google-site-verification=XWsmJWKMs8gYWrc9sc_KdeAl0OrRkDHPLljhjfGjoYI, amazonses:ZbyYbBrEgq1b5BQhFZyzugyScAWwParCk0FNOs4c1C4=, 4b6e772e-2b35-4013-ada0-5deafb388db0, google-site-verification=8IYPoYLbR1M_8AUF-AYwHlmkq4glsYIcIrPDAFMe2FI, miro-verification=42df5b4be7dfaaba3388761226de9f96d3fb7ecf, atlassian-domain-verification=+2Nij6zJOZt/wzpQ5s7lKmLYhD820qTcJK9wPSNma1QwebXwOUuN6A4imbi2udtv, adobe-idp-site-verification=26cc6fb9bff4354c104fe5703b8f8f20af7423753f4cd0fc8e88dd67ea5090a8, v=spf1 include:_u.wise.com._spf.smart.ondmarc.com include:mail.zendesk.com ~all, facebook-domain-verification=0dgkqibai68mvjkgbeafcplopqobhi, lucid-verification=6y5frg9862a61at0vcgs, docusign=f8aba945-9e3c-4bf8-8172-8221f8e40893, yandex-verification: e7e5f414e82d5677, MS=ms87976825, mixpanel-domain-verify=cd262321-20a1-40a6-9148-c06050396ae7",,
[x],www.citi-test.transferwise.com,,,NOERROR,,,,,,,,
[x],www.citi.transferwise.com,,,NOERROR,,,,,,,,
[x],www.ocbc-signing.transferwise.com,54.144.128.85,,NOERROR,,,,,,,,
[x],www.transferwise.com,"104.18.167.45, 104.18.168.45","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],www.wise.com,"104.18.17.28, 104.18.16.28","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],zendesk1.wise.com,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail1.zendesk.com,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,,
[x],zendesk2.transferwise.com,"162.159.128.7, 162.159.138.6","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail2.zendesk.com,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,,
[x],zendesk2.wise.com,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail2.zendesk.com,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,,
[x],zendesk3.transferwise.com,"162.159.128.7, 162.159.138.6","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail3.zendesk.com,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,,
[x],zendesk3.wise.com,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail3.zendesk.com,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,,
[x],zendesk4.transferwise.com,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail4.zendesk.com,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,,
[x],zendesk4.wise.com,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail4.zendesk.com,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,,
