new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,txt,caa,ns
[x],dev2.btcturk.com,"104.16.214.13, 104.17.97.53","2606:4700::6810:d60d, 2606:4700::6811:6135","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],docs.btcturk.com,"188.114.98.229, 188.114.99.229","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5","dahlia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,hosting.gitbook.io,,,"letsencrypt.org, pki.goog, digicert.com",
[x],email.btcturk.com,,,"gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ~all,,
[x],enterpriseenrollment.btcturk.com,20.91.147.72,,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com",,,,
[x],enterpriseregistration.btcturk.com,20.190.137.40,,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.trafficmanager.net",,,,
[x],form.btcturk.com,"104.16.214.13, 104.17.97.53","2606:4700::6810:d60d, 2606:4700::6811:6135","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],graph-api.btcturk.com,"104.17.97.53, 104.16.214.13","2606:4700::6811:6135, 2606:4700::6810:d60d","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],kriptometre.btcturk.com,,,"gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ~all,,
[x],l.btcturk.com,"67.199.248.12, 67.199.248.13",,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com, ns-880.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,,cname.bitly.com,,,"letsencrypt.org, ;",
[x],lb.btcturk.com,"104.16.214.13, 104.17.97.53","2606:4700::6810:d60d, 2606:4700::6811:6135","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],lyncdiscover.btcturk.com,52.112.196.45,2603:1027:0:48::21,"admin.nsatc.net, dns.level3.net",NOERROR,,,webdir.online.lync.com,,,,
[x],notify.btcturk.com,"104.17.97.53, 104.16.214.13","2606:4700::6811:6135, 2606:4700::6810:d60d","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],oc.btcturk.com,"104.16.214.13, 104.17.97.53","2606:4700::6810:d60d, 2606:4700::6811:6135","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],pro-dev.btcturk.com,"104.17.97.53, 104.16.214.13","2606:4700::6810:d60d, 2606:4700::6811:6135","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/broker/pro-dev-btcturk-com-ingress",,
[x],pro.btcturk.com,"104.17.97.53, 104.16.214.13","2606:4700::6810:d60d, 2606:4700::6811:6135","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,v=spf1 ~all,,
[x],pro2.btcturk.com,"104.16.214.13, 104.17.97.53","2606:4700::6811:6135, 2606:4700::6810:d60d","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],public-api-dev.btcturk.com,"104.16.214.13, 104.17.97.53","2606:4700::6811:6135, 2606:4700::6810:d60d","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],public-api-staging.btcturk.com,"104.16.214.13, 104.17.97.53","2606:4700::6810:d60d, 2606:4700::6811:6135","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],public-api.btcturk.com,"104.16.214.13, 104.17.97.53","2606:4700::6811:6135, 2606:4700::6810:d60d","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],sip.btcturk.com,52.112.192.139,2603:1027:0:2::b,"admin.nsatc.net, dns.level3.net",NOERROR,,,sipdir.online.lync.com,,,,
[x],sso-dev.btcturk.com,"104.17.97.53, 104.16.214.13","2606:4700::6811:6135, 2606:4700::6810:d60d","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],sso.btcturk.com,"104.17.97.53, 104.16.214.13","2606:4700::6811:6135, 2606:4700::6810:d60d","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,v=spf1 ~all,,
[x],sso2.btcturk.com,"104.16.214.13, 104.17.97.53","2606:4700::6811:6135, 2606:4700::6810:d60d","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],staging.btcturk.com,,"2606:4700::6811:6135, 2606:4700::6810:d60d","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],status.btcturk.com,52.215.192.131,,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,z8mg82t6kc50.stspg-customer.com,,,"globalsign.com;, letsencrypt.org",
[x],test.btcturk.com,"104.17.97.53, 104.16.214.13","2606:4700::6810:d60d, 2606:4700::6811:6135","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],ws.btcturk.com,"104.17.97.53, 104.16.214.13","2606:4700::6810:d60d, 2606:4700::6811:6135","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],www.btcturk.com,"104.16.214.13, 104.17.97.53","2606:4700::6810:d60d, 2606:4700::6811:6135","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"v=spf1 ~all, v=DKIM1; p=",,
[x],zendesk2.btcturk.com,"162.159.138.6, 162.159.128.7",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail2.zendesk.com,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,
[x],zendesk4.btcturk.com,"162.159.128.7, 162.159.138.6, 184.72.174.126, 34.235.62.90, 3.213.143.227",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail4.zendesk.com,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net"
