input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_self_signed,tls_mismatched,tls_wildcard_certificate,cdn_name,cdn,final_url,csp_domains_,tls_expired
cdm.schiphol.nl,503 Service Unavailable,503,299,cdm.schiphol.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-05-17T23:59:59Z,"CN=*.schiphol.nl, O=Royal Schiphol Group N.V., L=Schiphol, C=NL",*.schiphol.nl,Royal Schiphol Group N.V.,schiphol.nl,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,925667be9517e713521af7a47c8aa3c7,b552e31ecb5dd8e333ef62bd9e736e0a0bb6345c877a570ef07ee648d6cbb3cf,ctls,cdm.schiphol.nl,443,https://cdm.schiphol.nl:443,https,Apache,text/html,GET,145.35.195.64,/,-1292467721,145.35.195.64,Apache,10,False,,,True,,,,,
ch.schiphol.nl,404 Not Found,404,146,ch.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T09:20:40Z,2024-01-27T09:20:40Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,5e2d6dfce6ba1b5cef4a81e7787a27f0,fe98a061eb3b76adb4966d241a318ad5db95af6ed5901649abbbeb6bb4063476,ctls,ch.schiphol.nl,443,https://ch.schiphol.nl:443,https,,text/html,GET,20.105.183.25,/,1494302000,20.105.183.25,HSTS,8,False,True,True,,,,,,
compute.iot.schiphol.nl,404 Not Found,404,146,compute.iot.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-25T14:54:57Z,2023-10-25T14:54:57Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,5664460476b7f38addcec7982e85d56b,d20e5214f11c36965c1f9c49e1975d3382b0909243835f3b1ceb1126c5ffb60e,ctls,compute.iot.schiphol.nl,443,https://compute.iot.schiphol.nl:443,https,,text/html,GET,20.67.126.43,/,1494302000,20.67.126.43,HSTS,8,False,True,True,,,,,,
daiquiri-ext-mr.iot.schiphol.nl,404 Not Found,404,548,daiquiri-ext-mr.iot.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-25T14:54:57Z,2023-10-25T14:54:57Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,5664460476b7f38addcec7982e85d56b,d20e5214f11c36965c1f9c49e1975d3382b0909243835f3b1ceb1126c5ffb60e,ctls,daiquiri-ext-mr.iot.schiphol.nl,443,https://daiquiri-ext-mr.iot.schiphol.nl:443,https,,text/html,GET,20.67.126.43,/,566218143,20.67.126.43,HSTS,14,False,True,True,,,,,,
dds-elvira.schiphol.nl,Sign in to your account,200,204776,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://dds-elvira.schiphol.nl:443,https,,text/html,GET,20.52.181.225,/,114869984,20.52.181.225,HSTS,173,False,,,,azure,True,https://login.microsoftonline.com/27776982-d882-41b2-95ac-322f28d5a2ce/oauth2/authorize?response_type=id_token&client_id=7146020d-0a44-4ece-b6cf-0ffe265b44de&scope=openid&nonce=2adcb2c7-d9b2-4bc4-8a46-7b5846258d78&response_mode=form_post&redirect_uri=https%3a%2f%2fdds-elvira.schiphol.nl%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fdds-elvira.schiphol.nl%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22348d3acc-a8d3-4d48-922e-bb207856290f%22%7d%23EndOfStateParam%23,,
developer-acc.schiphol.nl,Schiphol Developer Portal,200,45262,developer-acc.schiphol.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-01T10:38:09Z,2023-07-30T10:38:08Z,CN=developer-acc.schiphol.nl,developer-acc.schiphol.nl,,developer-acc.schiphol.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0f89d0b61a0d8aecfbef1769359f6a3d,10df2e9bfdc42b721dad083b334d8f43f87afda41926ad2c0da77417e5a6fc44,ctls,developer-acc.schiphol.nl,443,https://developer-acc.schiphol.nl:443,https,openresty,text/html,GET,54.146.28.150,/,376499309,52.5.64.83,Ruby on Rails,763,False,,,,,,,,
e.schiphol.nl,Schiphol | Start your journey well at our airport,200,201996,www.schiphol.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-10-30T23:59:59Z,"CN=schiphol.nl, O=Royal Schiphol Group N.V., L=Schiphol, C=NL, serialNumber=34029174, businessCategory=Private Organization, jurisdictionCountry=NL, businessCategory=Private Organization, jurisdictionCountry=NL",schiphol.nl,Royal Schiphol Group N.V.,www.schiphol.nl,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,ec2fbba696e7cf4bccec29fbb7918fdd,6a936b20fbb304fdcf0c8603627b8e184aaf6339e88b348658488354d7524f63,ctls,www.schiphol.nl,443,https://e.schiphol.nl:443,https,cloudflare,text/html,GET,3.124.32.183,/,566218143,3.125.240.73,Varnish,1700,False,,,,,,https://www.schiphol.nl/en/,ajax.cloudflare.com,
edms.schiphol.nl,Aanmelden,200,16792,logon.schiphol.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-05-17T23:59:59Z,"CN=*.schiphol.nl, O=Royal Schiphol Group N.V., L=Schiphol, C=NL",*.schiphol.nl,Royal Schiphol Group N.V.,schiphol.nl,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,925667be9517e713521af7a47c8aa3c7,b552e31ecb5dd8e333ef62bd9e736e0a0bb6345c877a570ef07ee648d6cbb3cf,ctls,logon.schiphol.nl,443,https://edms.schiphol.nl:443,https,Microsoft-HTTPAPI/2.0 Microsoft-HTTPAPI/2.0,text/html,GET,145.35.195.64,/,-822585906,145.35.195.64,Microsoft HTTPAPI:2.0,416,False,,,True,,,https://logon.schiphol.nl/adfs/ls?version=1.0&action=signin&realm=urn%3AAppProxy%3Acom&appRealm=205fe9c1-91c5-e511-940a-00505688790c&returnUrl=https%3A%2F%2Fedms.schiphol.nl%2F&client-request-id=DB2658E1-786D-0000-739C-93DB6D78D901,,
email.brandportal.schiphol.nl,,404,19,email.brandportal.schiphol.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T13:35:29Z,2023-06-14T13:35:28Z,CN=mailgun.org,mailgun.org,,mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3d169b9a2155b6a3cfa18c1af722bffd,882d45c195b586adc7ddf4167d555da0fce18b30968b745469c6655ad3a6fc34,ctls,email.brandportal.schiphol.nl,443,https://email.brandportal.schiphol.nl:443,https,,text/plain,GET,34.110.180.34,/,-138391155,34.110.180.34,,2,False,,True,,google,True,,,
es.schiphol.nl,404 Not Found,404,548,es.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-12T08:24:34Z,2024-04-11T08:24:34Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,3e37a4363ef58c13a3ef247cc09ed264,6ba56195f6bd9dad5d3c409447fe75f391c4f9e6d268a8f45948d9411afa324d,ctls,es.schiphol.nl,443,https://es.schiphol.nl:443,https,,text/html,GET,20.105.183.25,/,566218143,20.105.183.25,HSTS,14,False,True,True,,,,,,
evesta.schiphol.nl,eVesta,200,229,evesta.schiphol.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-03T00:00:00Z,2024-04-01T23:59:59Z,"CN=evesta.schiphol.nl, O=Royal Schiphol Group N.V., L=Schiphol, C=NL, serialNumber=34029174, businessCategory=Private Organization, jurisdictionCountry=NL, businessCategory=Private Organization, jurisdictionCountry=NL",evesta.schiphol.nl,Royal Schiphol Group N.V.,evesta.schiphol.nl,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,4f12065a5110803a7741c3c5751f2b12,cdb92192fdb55a87391cf29d1060cfd62a56eb8901897e3a623018286582f640,ctls,evesta.schiphol.nl,443,https://evesta.schiphol.nl:443,https,,text/html,GET,145.35.195.63,/,1401122538,145.35.195.63,,13,False,,,,,,,url=https://evesta.schiphol.nl/evesta/prod/,
extra.ad-notamvisuals.schiphol.nl,Schiphol | NOTAM information,200,153814,www.schiphol.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-10-30T23:59:59Z,"CN=schiphol.nl, O=Royal Schiphol Group N.V., L=Schiphol, C=NL, serialNumber=34029174, businessCategory=Private Organization, jurisdictionCountry=NL, businessCategory=Private Organization, jurisdictionCountry=NL",schiphol.nl,Royal Schiphol Group N.V.,www.schiphol.nl,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,ec2fbba696e7cf4bccec29fbb7918fdd,6a936b20fbb304fdcf0c8603627b8e184aaf6339e88b348658488354d7524f63,ctls,www.schiphol.nl,443,https://extra.ad-notamvisuals.schiphol.nl:443,https,cloudflare,text/html,GET,20.105.183.25,/,-2066794384,20.105.183.25,Varnish,992,False,,,,,,https://www.schiphol.nl/en/operations/page/extra-notam-information/,*.salesforceliveagent.com,
flow4cast.schiphol.nl,flow4cast,200,2889,flow4cast.schiphol.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-14T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.scenarioplanning.com, O=BEONTRA GmbH, L=Karlsruhe, ST=Baden-Württemberg, C=DE",*.scenarioplanning.com,BEONTRA GmbH,scenarioplanning.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,cfdd3f595d7633289e882d39255074fa,05c6f5adab89f78b1c4c74e33c481672bfbe465bfdeeca6838ba504f8df2b833,ctls,flow4cast.schiphol.nl,443,https://flow4cast.schiphol.nl:443,https,Apache,text/html,GET,135.125.226.27,/,-1510540111,135.125.226.27,Apache,46,False,,True,True,,,,,
fr.schiphol.nl,404 Not Found,404,146,fr.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-12T08:24:34Z,2024-04-11T08:24:34Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,3e37a4363ef58c13a3ef247cc09ed264,6ba56195f6bd9dad5d3c409447fe75f391c4f9e6d268a8f45948d9411afa324d,ctls,fr.schiphol.nl,443,https://fr.schiphol.nl:443,https,,text/html,GET,20.105.183.25,/,1494302000,20.105.183.25,HSTS,8,False,True,True,,,,,,
icd.schiphol.nl,Sign in to your account,200,200615,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://icd.schiphol.nl:443,https,,text/html,GET,20.52.181.225,/,1677391942,20.52.181.225,HSTS,174,False,,,,azure,True,https://login.microsoftonline.com/27776982-d882-41b2-95ac-322f28d5a2ce/oauth2/authorize?response_type=id_token&client_id=966ba6ec-6539-442d-abfb-5d6eda37a5b2&scope=openid&nonce=fd59d674-6658-47c9-b2ab-97da18410ae6&response_mode=form_post&redirect_uri=https%3a%2f%2ficd.schiphol.nl%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2ficd.schiphol.nl%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22cae4d6e3-d445-49f7-adf4-1fe0f5a0fd68%22%7d%23EndOfStateParam%23,,
identityserver-acc.rpa.schiphol.nl,,403,58,identityserver-acc.rpa.schiphol.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-27T00:00:00Z,2023-07-19T23:59:59Z,"CN=orchestrator-acc.rpa.schiphol.nl, O=Royal Schiphol Group N.V., L=Schiphol, C=NL",orchestrator-acc.rpa.schiphol.nl,Royal Schiphol Group N.V.,webhookservice-acc.rpa.schiphol.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,852c993e3da7270c16d188d4aa20e8d2,22f957348c3a9a407edbb583ccb18a5cd39c14d932de9917fd82637a0405fe0b,ctls,identityserver-acc.rpa.schiphol.nl,443,https://identityserver-acc.rpa.schiphol.nl:443,https,,text/html,GET,20.82.63.68,/,-20275242,20.82.63.68,HSTS,1,False,,,,,,,,
iris.schiphol.nl,Sign in to your account,200,199558,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://iris.schiphol.nl:443,https,,text/html,GET,104.18.18.59,/,-38006798,2606:4700::6812:123b,HSTS,174,False,,,,cloudflare,True,https://login.microsoftonline.com/27776982-d882-41b2-95ac-322f28d5a2ce/oauth2/v2.0/authorize?response_type=code&client_id=cef6b106-eb38-492c-841f-a23b3738f90d&redirect_uri=https%3A%2F%2Firis.schiphol.nl%2Flogin%2Fsso%2Fauth&scope=openid&state=e5436665-ce54-44aa-8c4c-1f2f5a44e385,,
it.schiphol.nl,404 Not Found,404,548,it.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T09:20:40Z,2024-01-27T09:20:40Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,5e2d6dfce6ba1b5cef4a81e7787a27f0,fe98a061eb3b76adb4966d241a318ad5db95af6ed5901649abbbeb6bb4063476,ctls,it.schiphol.nl,443,https://it.schiphol.nl:443,https,,text/html,GET,20.105.183.25,/,566218143,20.105.183.25,HSTS,14,False,True,True,,,,,,
itwebshop.schiphol.nl,Redirecting,200,156830,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://itwebshop.schiphol.nl:443,https,,text/html,GET,20.52.181.225,/,1246249480,20.52.181.225,HSTS,86,False,,,,azure,True,https://login.microsoftonline.com/27776982-d882-41b2-95ac-322f28d5a2ce/oauth2/authorize?response_type=id_token&client_id=8be39571-cb78-4f03-a768-659326cefc22&scope=openid&nonce=02ca51f0-06c5-4167-ae3b-29e8be178a9f&response_mode=form_post&redirect_uri=https%3a%2f%2fitwebshop.schiphol.nl%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fitwebshop.schiphol.nl%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%2299e56555-af80-458f-a676-1dc40c0a58a4%22%7d%23EndOfStateParam%23,,
