new,host,soa,txt,status_code,a,cname,ns,cdn,cdn-name,has_internal_ips,internal_ips,aaaa,mx,caa
[x],auvik.stage.auvik.com,"ns-1837.awsdns-37.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=stage-auvik-com,external-dns/resource=ingress/default/alb-ingress",NOERROR,"54.205.235.146, 52.204.55.237, 52.72.83.66",,,,,,,,,
[x],auvikapi.us1.my.auvik.com,"ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=us1-my-auvik-com,external-dns/resource=ingress/default/alb-ingress",NOERROR,"3.232.50.199, 3.209.222.213, 34.193.170.107",,,,,,,,,
[x],auvikapi.us1.stage.auvik.com,"ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=us1-stage-auvik-com,external-dns/resource=ingress/default/alb-ingress",NOERROR,"54.163.138.40, 3.216.182.25, 75.101.240.151",,,,,,,,,
[x],auvikapi.us2.my.auvik.com,"ns-22.awsdns-02.com, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=us2-my-auvik-com",NOERROR,"34.210.253.75, 35.82.65.242, 44.239.125.158",,,,,,,,,
[x],b.daily.auvik.com,"ns-1486.awsdns-57.org, awsdns-hostmaster.amazon.com",,NOERROR,"18.65.39.106, 18.65.39.84, 18.65.39.57, 18.65.39.102",,"ns-1486.awsdns-57.org, ns-1826.awsdns-36.co.uk, ns-320.awsdns-40.com, ns-573.awsdns-07.net",True,cloudfront,,,,,
[x],b.stage.auvik.com,"ns-1837.awsdns-37.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=stage-auvik-com,external-dns/resource=ingress/default/alb-ingress",NOERROR,"52.72.83.66, 54.205.235.146, 52.204.55.237",,,,,,,,,
[x],bambooserver.auvik.com,"ben.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],barrpicard.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"52.201.30.58, 18.233.174.39, 44.196.170.71",,,,,,,,,
[x],bcmb.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"18.233.174.39, 52.201.30.58, 44.196.170.71",,,,,,,,,
[x],bcservice.us1.my.auvik.com,"ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com",,NOERROR,"13.32.121.12, 13.32.121.87, 13.32.121.77, 13.32.121.92",,,True,cloudfront,,,,,
[x],blueridgeind.us1.my.auvik.com,"ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com",,NOERROR,"13.32.121.77, 13.32.121.92, 13.32.121.87, 13.32.121.12",,,True,cloudfront,,,,,
[x],c.daily.auvik.com,"ns-879.awsdns-45.net, awsdns-hostmaster.amazon.com",,NOERROR,"3.24.87.219, 54.252.255.12",,"ns-879.awsdns-45.net, ns-1072.awsdns-06.org, ns-1670.awsdns-16.co.uk, ns-274.awsdns-34.com",,,,,,,
[x],ca1.my.auvik.com,"ns-1427.awsdns-50.org, awsdns-hostmaster.amazon.com",,NOERROR,"108.138.64.37, 108.138.64.80, 108.138.64.66, 108.138.64.49, 205.251.193.224, 205.251.194.127, 205.251.197.147, 205.251.199.201",,"ns-1427.awsdns-50.org, ns-480.awsdns-60.com, ns-639.awsdns-15.net, ns-1993.awsdns-57.co.uk",True,cloudfront,,,,,
[x],cantegatech.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"44.196.170.71, 52.201.30.58, 18.233.174.39",,,,,,,,,
[x],circleitdevicesupport.daily.auvik.com,"ns-1551.awsdns-01.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=daily-auvik-com,external-dns/resource=ingress/default/alb-ingress",NOERROR,"107.23.9.10, 52.0.93.124, 52.71.157.1",,,,,,,,,
[x],click.auvik.com,"ns-834.awsdns-40.net, awsdns-hostmaster.amazon.com",,NOERROR,"54.166.96.114, 54.243.161.55, 54.221.50.8",custom-tracking.salesloft.com,,,,,,,,"comodoca.com, digicert.com, letsencrypt.org, pki.goog"
[x],collsoft.eu2.my.auvik.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,cloudfront,,,,,
[x],compuglobalhypermeganet.us1.my.auvik.com,"ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com",,NOERROR,"13.32.121.92, 13.32.121.12, 13.32.121.87, 13.32.121.77",,,True,cloudfront,,,,,
