new,host,a,soa,status_code,ns,cname,cdn,cdn-name,txt,aaaa,has_internal_ips,internal_ips,mx
[x],arlo-livestream15-goldendev-z1.arlo.com,63.33.32.28,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],arlo-livestream16-goldendev-z1.arlo.com,52.214.178.39,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1377.awsdns-44.org, ns-1854.awsdns-39.co.uk, ns-336.awsdns-42.com, ns-726.awsdns-26.net",,,,,,,,
[x],arlo-media-goldenqa-canary.ar.arlo.com,34.252.88.232,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,ArloMediagoldenqa-canary-1932991788.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlo-media-pre.ar.arlo.com,34.242.106.218,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,ArloMediaPreProdLB-667126690.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlo-media-qa2.ar.arlo.com,,"pdns88.ultradns.com, mshah.netgear.com",NOERROR,,,,,,,,,
[x],arlo-media-qa3.ar.arlo.com,"104.18.24.170, 104.18.25.170",,NOERROR,,arlo-media-qa3.ar.arlo.com.cdn.cloudflare.net,True,cloudflare,,,,,
[x],arlo-media-qa4.ar.arlo.com,"104.18.4.193, 104.18.5.193","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,arlo-media-qa4.ar.arlo.com.cdn.cloudflare.net,,,,,,,
[x],arlo-media-staging-canary.ar.arlo.com,52.209.33.166,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,arlo-media-staging-canary-2114938445.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlo-media-staging.ar.arlo.com,"52.49.220.80, 52.212.34.237","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,ArloMediaStageLB-N-1922843138.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlo-media.ar.arlo.com,"52.215.51.195, 52.51.207.133, 54.74.29.146, 34.242.249.120","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,ArloMediaProdLB-N-1198816203.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlo.ar.arlo.com,"54.228.21.22, 52.48.216.199","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,ArloProdLB-1815857678.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlo.com,"162.159.136.42, 162.159.137.42","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-726.awsdns-26.net, ns-1854.awsdns-39.co.uk, ns-1377.awsdns-44.org, ns-336.awsdns-42.com",,True,cloudflare,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,,,,"mxb-00320e01.gslb.pphosted.com, mxa-00320e01.gslb.pphosted.com"
[x],arlocallbacks-canary.arlo.com,54.171.198.94,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,arlocallbacks-canary-1837875128.eu-west-1.elb.amazonaws.com,,,,,,,
[x],arlocallbacks-dev.arlo.com,"52.18.0.177, 52.48.136.14","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,arlocallbacks-dev-n-689627499.eu-west-1.elb.amazonaws.com,,,,,,,
