new,host,a,aaaa,soa,has_internal_ips,internal_ips,status_code,cdn,cdn-name,ns,cname,txt,caa,mx
[x],advertising.dailymotion.com,188.65.124.92,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,"www.dailymotion.com, dmwww.geo.dmcdn.net, fp.ix7.dailymotion.com",,,
[x],ae-prod-onprem-dc3.dmxleo.com,188.65.124.65,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],ae-prod-onprem-ix7.dmxleo.com,188.65.124.66,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,"ns-1238.awsdns-26.org, ns-1914.awsdns-47.co.uk, ns-357.awsdns-44.com, ns-904.awsdns-49.net",,,,
[x],ae-prod-onprem-nyc.dmxleo.com,198.54.201.131,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,"ns-1238.awsdns-26.org, ns-1914.awsdns-47.co.uk, ns-357.awsdns-44.com, ns-904.awsdns-49.net",,,,
[x],ae-prod-onprem-sg1.dmxleo.com,103.195.32.131,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],ae-prod-onprem-sv4.dmxleo.com,198.54.200.131,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],ae-staging-cloud-europewest1.dmxleo.com,35.233.16.81,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,True,google,"ns-1238.awsdns-26.org, ns-1914.awsdns-47.co.uk, ns-357.awsdns-44.com, ns-904.awsdns-49.net",,,,
[x],ae-staging-onprem-ix7.dmxleo.com,188.65.124.67,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,ingress-04-pub-stg-ix7.vip.dailymotion.com,,,
[x],ae.dmxleo.com,0.0.0.0,::,"fake-for-negative-caching.adguard.com, hostmaster.ae.dmxleo.com",True,0.0.0.0,NOERROR,,,,,,,
[x],ae0-206.core-03.ix7.dailymotion.com,195.8.214.234,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],ae0-206.core-04.ix7.dailymotion.com,195.8.214.235,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],ae1-206.core-03.ix7.dailymotion.com,195.8.214.236,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],ae1-206.core-04.ix7.dailymotion.com,195.8.214.237,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],ae11.core-01.sg1.dailymotion.com,103.195.32.202,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],ae12.core-01.sg1.dailymotion.com,103.195.32.200,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],ae2-206.core-01.dc3.dailymotion.com,195.8.214.220,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],ae2-206.core-02.dc3.dailymotion.com,195.8.214.221,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],ae4-206.core-01.dc3.dailymotion.com,195.8.214.224,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],ae7.core-01.sg1.dailymotion.com,103.195.32.206,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],ae8.core-01.sg1.dailymotion.com,103.195.32.208,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],ae9.core-01.sg1.dailymotion.com,103.195.32.204,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],airflow.data-kub.gcp.dailymotion.com,35.224.156.142,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,True,google,,ingress-data-backbone-prod.gcp.dailymotion.com,,,
[x],airflow.data-kub.stage.gcp.dailymotion.com,35.225.21.201,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,True,google,,ingress-data-backbone-stg.gcp.dailymotion.com,,,
[x],alerts.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,"a.dailymotion.com, b.dailymotion.com",,v=spf1 include:spfa.dailymotion.com include:spfb.dailymotion.com -all,,
[x],alice.preprod.dailymotion.com,195.8.215.142,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,preprod.dailymotion.com,,,
[x],am-02.dc3.dailymotion.com,195.8.215.246,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],am-02.ix7.dailymotion.com,195.8.215.248,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-aws.dailymotion.com,,,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,"ns-137.awsdns-17.com, ns-1385.awsdns-45.org, ns-1706.awsdns-21.co.uk, ns-771.awsdns-32.net",,,,
[x],api-beta.stage-04.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],api-dc3.dailymotion.com,195.8.215.158,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-internal.preprod.dailymotion.com,195.8.215.142,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,preprod.dailymotion.com,,,
[x],api-ix7.dailymotion.com,195.8.215.159,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-origin.dmcdn.net,195.8.215.150,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-sg1.dailymotion.com,103.195.32.112,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-01.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-02.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-03.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-04.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-05.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-07.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-08.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-11.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-12.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-13.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-14.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-15.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-16.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-17.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-18.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-19.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-21.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-23.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-24.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-25.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-26.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-27.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-29.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-30.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-33.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-34.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-35.dailymotion.com,"195.8.215.159, 195.8.215.158",,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-36.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-37.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-38.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-39.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-40.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-41.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-46.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-47.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-48.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-49.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-50.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-51.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-52.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-53.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-55.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-57.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-58.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-59.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-60.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-61.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-62.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-64.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-65.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-68.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-69.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage-70.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api-stage.dmcdn.net,195.8.215.150,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,api-origin.dmcdn.net,,,
[x],api-staging.pxl.dailymotion.com,188.65.124.67,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,ingress-04-pub-stg-ix7.vip.dailymotion.com,,,
[x],api.ci.stage-53.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],api.dailymotion.com,198.54.201.90,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,"dmapi.geo.dmcdn.net, fp.nyc.dailymotion.com",,,
[x],api.dmcdn.net,46.228.146.2,,"dns23.llnwi.net, hostmaster.llnwi.net",,,NOERROR,,,,"static.geo.dmcdn.net, dmotion.s.llnwi.net",,,
[x],api.evelynn.stage-26.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],api.netherlands.stage-03.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],api.oceania.stage-53.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],api.oceania.stage-58.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],api.pc.stage-69.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],api.region.stage-32.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],api.stage-01.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-03.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-04.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-05.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-06.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-10.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-11.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-12.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-13.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-17.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-18.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-19.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-20.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-21.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-22.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-23.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-24.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-26.dailymotion.com,,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-28.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-29.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-30.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-31.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-34.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-35.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-36.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-37.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-38.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-40.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-41.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-42.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-44.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-46.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-47.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-48.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-49.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-52.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-53.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-54.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-56.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-57.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-58.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-59.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-60.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-62.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-63.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-64.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-65.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-66.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-69.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],api.stage-70.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],april.style.stage-67.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,stages.dailymotion.com,,,
[x],apu.dailymotion.com,195.8.215.129,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],atlas1.ext.dc3.dailymotion.com,188.65.121.240,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],atlas1.nyc.dailymotion.com,198.54.201.246,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],atw-injector-02.dc3.dailymotion.com,195.8.215.206,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],atw-injector-03.dc3.dailymotion.com,195.8.215.207,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],atw-injector-04.dc3.dailymotion.com,195.8.215.208,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],autodiscover.dailymotion.com,"52.98.229.168, 52.98.229.184, 52.98.240.152",,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",,,NOERROR,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,
[x],autodiscover.service.dailymotion.com,"52.98.175.8, 40.99.150.120, 52.98.243.40, 40.99.150.8, 52.98.171.248, 52.98.241.184, 40.99.150.88, 52.98.228.56",,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",,,NOERROR,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,
[x],available-vip-zxtm-135.dailymotion.com,195.8.215.135,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-136.dailymotion.com,195.8.215.136,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-139.dailymotion.com,195.8.215.139,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-140.dailymotion.com,195.8.215.140,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-141.dailymotion.com,195.8.215.141,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-142.dailymotion.com,195.8.215.142,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-147.dailymotion.com,195.8.215.147,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-153.dailymotion.com,195.8.215.153,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-154.dailymotion.com,195.8.215.154,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-155.dailymotion.com,195.8.215.155,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-156.dailymotion.com,195.8.215.156,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-157.dailymotion.com,195.8.215.157,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-159.dailymotion.com,195.8.215.159,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-161.dailymotion.com,195.8.215.161,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-165.dailymotion.com,195.8.215.165,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-166.dailymotion.com,195.8.215.166,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-167.dailymotion.com,195.8.215.167,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-169.dailymotion.com,195.8.215.169,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
[x],available-vip-zxtm-170.dailymotion.com,195.8.215.170,,"b.dailymotion.com, admins.dailymotion.com",,,NOERROR,,,,,,,
