new,host,a,soa,status_code,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,cname,caa,mx,txt,ns
,cyberghostvpn.com,"104.20.0.14, 104.20.1.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:10e, 2606:4700:10::6814:e",True,cloudflare,,,,,,"postman-domain-verification=661b11c1b5347701f825f4aa36c104241ff65def8620e7f58d68c5a59c8a4f3dddd79807895025b6971fc6780b32b2255618f4257914d031086ceccd57de28c3, v=spf1 include:amazonses.com include:sendgrid.net ip4:82.208.183.42 ip4:217.114.211.253 ip4:176.223.224.91 ip4:176.223.224.92 ip4:85.9.20.158 -all, 2shl4i6asovl0640nj3mnrckl1, 682564366-3779947, freenode-registration-97982986fa315459b58a2e55c045d811, google-site-verification=5o_X_-PGC5TWxYC-91CaHTcCUTMdL-RIfWLQQ9m2k8c, google-site-verification=E4lRtzZRtUcg7GUOtEL2y5ZMEyeuNa7qhZ-sXUL4DRA, google-site-verification=UFnYARtFaQEQaS2zw_W2TzK0XV2tiNPznlUfU4zO7Q0, google-site-verification=V2UEehvHBx3we47d_O50M2WyQPn9d3nSSxvS2d8s3pA, google-site-verification=WXH02ChCfOj2csgzBMUPo13vttT1fe4S_kQgiTvfXmA, google-site-verification=Zf6anxKEmrhb6sXtBPymAMesf7v9YciOj7MCULK5-KU, google-site-verification=fGM7W19w2c_3KN_ZXYAMuOyahTI_OFHW-OCOtcYRUgI, google-site-verification=hgjHgnw2qAGc1b3izz0lb1sVy9Vs-AK1aOaSRhNBo3Q, google-site-verification=hpX7fvD3IJFc7x-SU2lK9Qkdtzrtjtph4iLCcsB2kVc, google-site-verification=kXupf_HpsW7RDhsjrinGH46-gT4srRVvIcNZD0hfg9g, google-site-verification=untPCvU-yl6h58wTlQuU7xWzBeSaBcIpKJvGSozV79M, google-site-verification=v6e7tiEqR-GKdoLa9kn8jQZp8ZIS4pGbLd6xs-HT6UQ","erin.ns.cloudflare.com, ed.ns.cloudflare.com"
,cyberstaging.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
,dev-api.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:10e, 2606:4700:10::6814:e",True,cloudflare,,,,,,,
,dev-assets-cms.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
,dev-www.cyberghostvpn.com,52.210.165.133,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,dip.cyberghostvpn.com,"18.202.210.186, 52.210.250.165","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,dip2-750473760.eu-west-1.elb.amazonaws.com,,,,
,download.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
,em.cyberghostvpn.com,"167.89.123.124, 167.89.118.52, 167.89.118.83, 167.89.123.54","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,sendgrid.net,"godaddy.com, amazonaws.com","mx.sendgrid.net, mx2.sendgrid.net","mailru-verification: 2e3995fa8a7d00e0, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei","ns15.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns12.dnsmadeeasy.com"
,email.mail.cyberghostvpn.com,34.111.99.212,"ns-508.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,,True,google,,,eu.mailgun.org,";, digicert.com, letsencrypt.org","mxb.eu.mailgun.org, mxa.eu.mailgun.org",v=spf1 include:_spf.eu.mailgun.org ~all,"ns-508.awsdns-63.com, ns-619.awsdns-13.net, ns-1452.awsdns-53.org, ns-2026.awsdns-61.co.uk"
,enterpriseenrollment.cyberghost.com,52.236.189.96,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com",,,,
,enterpriseregistration.cyberghost.com,,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,,True,azure,,,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.trafficmanager.net",,,,
,features.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
,frankfurt-ns01.cyberghostvpn.com,185.93.180.130,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,links.cyberghostvpn.com,,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700::6812:3e6, 2606:4700::6812:2e6",True,cloudflare,,,,,,,"ed.ns.cloudflare.com, erin.ns.cloudflare.com"
,lynx.cyberghostvpn.com,10.10.10.25,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,10.10.10.25,,,,,
,mail.cyberghostvpn.com,,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,"mxa.eu.mailgun.org, mxb.eu.mailgun.org",v=spf1 include:eu.mailgun.org ~all,
,manchester-ns01.cyberghostvpn.com,194.187.251.66,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,mon.cyberghostvpn.com,54.144.128.85,,NOERROR,,,,,,,,,,
,my.cyberghostvpn.com,"104.20.0.14, 104.20.1.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:10e, 2606:4700:10::6814:e",True,cloudflare,,,,,,,
,ns01.cyberghostvpn.com,85.10.247.210,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2a01:4f8:b0:3006::1:2,,,,,,,,,
,ns02.cyberghostvpn.com,89.40.219.202,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2a04:9dc0:c1:46::1:2,,,,,,,,,
,ns03.cyberghostvpn.com,38.132.117.99,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2001:978:2305:5::1:2,,,,,,,,,
,offer.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:10e, 2606:4700:10::6814:e",True,cloudflare,,,,,,,
,payment.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
,privacy.cyberghostvpn.com,"104.18.27.189, 104.18.26.189","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700::6812:1abd, 2606:4700::6812:1bbd",True,cloudflare,,,secure.pageserve.co,"digicert.com, letsencrypt.org, sectigo.com",,,
,privacyhub.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
,pro.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:10e, 2606:4700:10::6814:e",True,cloudflare,,,,,,,
,prod-us.cyberghostvpn.com,,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,,
,prometheus-debug-api.cyberghostvpn.com,,,NOERROR,,,,,,,,,,
,rest.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
,rest2.cyberghostvpn.com,54.75.239.232,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,safe.cyberghostvpn.com,"104.20.0.14, 104.20.1.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
,sdns.cyberghostvpn.com,82.196.7.178,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,sentry.cyberghostvpn.com,"104.20.0.14, 104.20.1.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
,staging-adminv2.cyberghostvpn.com,54.247.114.122,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,staging-api.cyberghostvpn.com,,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
,staging-my.cyberghostvpn.com,63.35.93.248,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,static.cyberghostvpn.com,"104.20.0.14, 104.20.1.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
,status.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
,store.cyberghostvpn.com,"104.16.243.229, 104.16.242.229","drew.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,cyberghostvpn-s.cleverbridge.com,,,,
,support.cyberghostvpn.com,"104.16.51.111, 104.16.53.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudflare,,,cyberghosthelp.zendesk.com,,mail-pod-28.int.zendesk.com,"pod=28, v=spf1 include:mail.zendesk.com ~all",
,updater-api.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:e, 2606:4700:10::6814:10e",True,cloudflare,,,,,,,
,v2-api.cyberghostvpn.com,"104.20.1.14, 104.20.0.14","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6814:10e, 2606:4700:10::6814:e",True,cloudflare,,,,,,,
,v4only.cyberghostvpn.com,127.0.0.2,"ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,127.0.0.2,,,,,
,www.cyberghost.com,"104.21.61.30, 172.67.205.106","ed.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:3031::ac43:cd6a, 2606:4700:3030::6815:3d1e",True,cloudflare,,,,,,,
,www.store.cyberghostvpn.com,,,NOERROR,,,,,,,,,,
