new,host,soa,txt,status_code,a,cname,has_internal_ips,internal_ips,cdn,cdn-name,aaaa,ns,mx,caa
[x],efeitgtmprodswstatus-pro.intuit.com,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,"3.20.92.151, 13.59.87.157, 3.137.33.125","proseries-it.efe-prod.a.intuit.com, filer-it-prod.efe-prod-us-east-2.a.intuit.com",,,,,,,,
[x],efeitgtmprodswstatus-ttb.intuit.com,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,"3.20.92.151, 13.59.87.157, 3.137.33.125","ttbiz-it.efe-prod.a.intuit.com, filer-it-prod.efe-prod-us-east-2.a.intuit.com",,,,,,"ns-1204.awsdns-22.org, ns-1618.awsdns-10.co.uk, ns-38.awsdns-04.com, ns-931.awsdns-52.net",,
[x],efeitgtmprodswsubmit-lac.intuit.com,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,"3.20.92.151, 13.59.87.157, 3.137.33.125","lacerte-it.efe-prod.a.intuit.com, filer-it-prod.efe-prod-us-east-2.a.intuit.com",,,,,,,,
[x],efeitgtmprodswsubmit-pro.intuit.com,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,"13.59.87.157, 3.137.33.125, 3.20.92.151","proseries-it.efe-prod.a.intuit.com, filer-it-prod.efe-prod-us-east-2.a.intuit.com",,,,,,,,
[x],efeitgtmprodswsubmit-ttb.intuit.com,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,"13.59.87.157, 3.137.33.125, 3.20.92.151","ttbiz-it.efe-prod.a.intuit.com, filer-it-prod.efe-prod-us-east-2.a.intuit.com",,,,,,,,
[x],efeitqdcperf-ipad.intuit.com,"a1-182.akam.net, nadmin.intuit.com",,NOERROR,206.108.41.198,,,,,,,,,
[x],efeitqdcperf-ttm.intuit.com,"dns1.p08.nsone.net, nadmin.intuit.com, a1-182.akam.net",,NOERROR,206.108.41.47,,,,,,,,,
[x],efeitqdcperf-ttw.intuit.com,"a1-182.akam.net, nadmin.intuit.com",,NOERROR,206.108.41.49,,,,,,,,,
[x],efeitqdcperfstatus-ttw.intuit.com,"dns1.p08.nsone.net, nadmin.intuit.com",,NOERROR,,,,,,,,,,
[x],efeitqdcperfsw-pro.intuit.com,"a1-182.akam.net, nadmin.intuit.com, dns1.p08.nsone.net",,NOERROR,206.108.41.53,,,,,,,,,
[x],efeitqdcperfsw-proetx-ex.intuit.com,"dns1.p08.nsone.net, nadmin.intuit.com, a1-182.akam.net",,NOERROR,206.108.41.96,,,,,,,,,
[x],efeitqdcperfswstatus-lac.intuit.com,"a1-182.akam.net, nadmin.intuit.com, dns1.p08.nsone.net",,NOERROR,206.108.41.52,,,,,,,,,
[x],efeitqdcperfswstatus-pro.intuit.com,"dns1.p08.nsone.net, nadmin.intuit.com",,NOERROR,206.108.41.54,,,,,,,,,
[x],efeitqdcperfswstatus-ttb.intuit.com,"a1-182.akam.net, nadmin.intuit.com, dns1.p08.nsone.net",,NOERROR,,,,,,,,,,
[x],efeperf.intuit.com,"ns-1033.awsdns-01.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=payrollbo-ppd-use2-k8s,external-dns/resource=ingress/payroll-efeprservices-use2-prf/efepr-services-filer-service-ingress",NOERROR,"18.218.32.97, 3.142.180.223, 3.13.31.150","qbdt-pr-perf.efepr-preprod.a.intuit.com, filer-pr-perf-us-east-2.efepr-preprod.a.intuit.com, payroll-payrolltax-prf-efepr-services-filer-service.payrollboppduse2.iks2.a.intuit.com",,,,,,,,
