input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,csp_domains_,final_url,tls_mismatched,tls_self_signed,tls_expired
*.intuit.com.au,Online Accounting Software | QuickBooks Australia,200,683107,AS20940,AKAMAI-ASN1,NL,84.53.160.0/19,quickbooks.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,"CN=mktg.intuit.com, O=Intuit Inc., L=San Diego, ST=California, C=US",mktg.intuit.com,Intuit Inc.,accountants.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7aa97b60139d6bae946f566b083822b4,4a4d94f18f8d5189c443301db650e26e1836122fb876bebe933ce1bd82079c5f,ctls,quickbooks.intuit.com,,443,https://intuit.com.au:443,https,AmazonS3,text/html,GET,84.53.164.173,/,1311910733,84.53.164.173,HSTS,3017,False,,,*.intuit.com,https://quickbooks.intuit.com/au/,,,
*.intuit.com.br,Sistema de Gestão Financeira QuickBooks,200,393852,AS22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,BR,200.160.0.0/20,quickbooks.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,"CN=mktg.intuit.com, O=Intuit Inc., L=San Diego, ST=California, C=US",mktg.intuit.com,Intuit Inc.,accountants.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7aa97b60139d6bae946f566b083822b4,4a4d94f18f8d5189c443301db650e26e1836122fb876bebe933ce1bd82079c5f,ctls,quickbooks.intuit.com,,80,http://intuit.com.br:80,http,AmazonS3,text/html,GET,200.160.2.95,/,-562341667,2001:12ff:0:2::95,HSTS,596,False,,,*.intuit.com,https://quickbooks.intuit.com/br/,,,
*.intuit.fr,homepage,200,161385,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,quickbooks.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,"CN=mktg.intuit.com, O=Intuit Inc., L=San Diego, ST=California, C=US",mktg.intuit.com,Intuit Inc.,accountants.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7aa97b60139d6bae946f566b083822b4,4a4d94f18f8d5189c443301db650e26e1836122fb876bebe933ce1bd82079c5f,ctls,quickbooks.intuit.com,,443,https://intuit.fr:443,https,AmazonS3,text/html,GET,23.212.213.45,/,1311910733,23.212.213.45,HSTS,550,False,,,*.intuit.com,https://quickbooks.intuit.com/fr/,,,
*.intuit.hk,Accounting Software | QuickBooks Hong Kong,200,620067,AS20940,AKAMAI-ASN1,NL,95.101.0.0/16,quickbooks.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,"CN=mktg.intuit.com, O=Intuit Inc., L=San Diego, ST=California, C=US",mktg.intuit.com,Intuit Inc.,accountants.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7aa97b60139d6bae946f566b083822b4,4a4d94f18f8d5189c443301db650e26e1836122fb876bebe933ce1bd82079c5f,ctls,quickbooks.intuit.com,,443,https://intuit.hk:443,https,AmazonS3,text/html,GET,95.101.54.131,/,556753006,2.16.202.121,HSTS,1889,False,,,*.intuit.com,https://quickbooks.intuit.com/hk/,,,
*.intuit.in,Intuit® India: Official Site | Powering Financial Prosperity‎,200,272394,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,www.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,"CN=mktg.intuit.com, O=Intuit Inc., L=San Diego, ST=California, C=US",mktg.intuit.com,Intuit Inc.,accountants.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7aa97b60139d6bae946f566b083822b4,4a4d94f18f8d5189c443301db650e26e1836122fb876bebe933ce1bd82079c5f,ctls,www.intuit.com,,443,https://intuit.in:443,https,AmazonS3,text/html,GET,2.16.238.154,/,-811367848,2.16.238.136,HSTS,75,False,,,*.intuit.com,https://www.intuit.com/in/,,,
*.intuit.sg,Accounting Software | QuickBooks Singapore,200,622088,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,quickbooks.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,"CN=mktg.intuit.com, O=Intuit Inc., L=San Diego, ST=California, C=US",mktg.intuit.com,Intuit Inc.,accountants.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7aa97b60139d6bae946f566b083822b4,4a4d94f18f8d5189c443301db650e26e1836122fb876bebe933ce1bd82079c5f,ctls,quickbooks.intuit.com,,443,https://intuit.sg:443,https,AmazonS3,text/html,GET,2.16.91.24,/,774907863,2.16.91.11,HSTS,1868,False,,,*.intuit.com,https://quickbooks.intuit.com/sg/,,,
*.intuitlabs.com,Intuit Labs – Innovation at Intuit,200,64606,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,www.intuitlabs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2018-12-23T00:00:00Z,2020-03-20T12:00:00Z,"CN=*.atke.a.intuit.com, OU=Technology Operations, O=INTUIT INC., L=San Diego, ST=California, C=US",*.atke.a.intuit.com,INTUIT INC.,*.atke.a.intuit.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,d80aaa2984a0678e3be8a0b9c7fe2a74,1e358ec0bf99f8ecd1591352ecd61135e16ae391c6b5f5e80a0dbae037155929,ctls,www.intuitlabs.com,,443,https://intuitlabs.com:443,https,Apache,text/html,GET,2.16.238.154,/,1198047028,2.16.238.136,WordPress:5.6.10,345,False,,True,,https://www.intuitlabs.com/,True,,True
*.managepayroll.com,,200,24124,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,iop.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-07T00:00:00Z,2024-02-06T23:59:59Z,"CN=iop.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",iop.intuit.com,INTUIT INC.,www.paycheckrecords.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a6f24733a7b760842c2a08c5b78e177e,e8308ebf15c729bcb47084881fc01fb67522332478ed476cb98efa8841518256,ctls,iop.intuit.com,,443,https://managepayroll.com:443,https,nginx,text/html,GET,2.16.238.154,/,1617751413,2.16.238.136,Nginx,618,False,,,,https://iop.intuit.com/login/aclogin.jsp,,,
*.perf-intuitb2b.cs97.force.com,Login | Salesforce,200,11593,AS14340,SALESFORCE,US,136.147.0.0/17,test.salesforce.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-14T00:00:00Z,2023-06-13T23:59:59Z,"CN=test.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",test.salesforce.com,"salesforce.com, inc.",test.cloudforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,24b68e5435cbe7ae8d8cf11092c6c2ef,ed096321e3b70b2e04de80fb8a796cd95439e2354d27bc1a95e3d6293cbfeac0,ctls,test.salesforce.com,,443,https://perf-intuitb2b.cs97.force.com:443,https,,text/html,GET,136.146.45.127,/,1433417005,136.146.43.127,HSTS,24,False,,,,https://test.salesforce.com,,,
*.quickbooks.co.uk,"Smart, Simple Accounting Software | QuickBooks UK",200,212911,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,quickbooks.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,"CN=mktg.intuit.com, O=Intuit Inc., L=San Diego, ST=California, C=US",mktg.intuit.com,Intuit Inc.,accountants.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7aa97b60139d6bae946f566b083822b4,4a4d94f18f8d5189c443301db650e26e1836122fb876bebe933ce1bd82079c5f,ctls,quickbooks.intuit.com,,443,https://quickbooks.co.uk:443,https,AmazonS3,text/html,GET,23.212.213.45,/,1311910733,23.212.213.45,HSTS,42,False,,,*.intuit.com,https://quickbooks.intuit.com/uk/,,,
*.quickbooks.com,QuickBooks®: Official Site | Smart Tools. Better Business.,200,756595,AS20940,AKAMAI-ASN1,NL,84.53.160.0/19,quickbooks.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,"CN=mktg.intuit.com, O=Intuit Inc., L=San Diego, ST=California, C=US",mktg.intuit.com,Intuit Inc.,accountants.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7aa97b60139d6bae946f566b083822b4,4a4d94f18f8d5189c443301db650e26e1836122fb876bebe933ce1bd82079c5f,ctls,quickbooks.intuit.com,,443,https://quickbooks.com:443,https,AmazonS3,text/html,GET,84.53.164.173,/,1047392742,84.53.164.173,HSTS,299,False,,,*.intuit.com,https://quickbooks.intuit.com/,,,
*.quickbooks.com.br,Sistema de Gestão Financeira QuickBooks,200,393852,AS20940,AKAMAI-ASN1,NL,84.53.160.0/19,quickbooks.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,"CN=mktg.intuit.com, O=Intuit Inc., L=San Diego, ST=California, C=US",mktg.intuit.com,Intuit Inc.,accountants.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7aa97b60139d6bae946f566b083822b4,4a4d94f18f8d5189c443301db650e26e1836122fb876bebe933ce1bd82079c5f,ctls,quickbooks.intuit.com,,443,https://quickbooks.com.br:443,https,AmazonS3,text/html,GET,84.53.164.173,/,796133166,84.53.164.173,HSTS,596,False,,,*.intuit.com,https://quickbooks.intuit.com/br/,,,
*.stage-intuitb2b.cs125.force.com,Login | Salesforce,200,10893,AS14340,SALESFORCE,US,13.110.220.0/23,test.salesforce.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-14T00:00:00Z,2023-06-13T23:59:59Z,"CN=test.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",test.salesforce.com,"salesforce.com, inc.",test.cloudforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,24b68e5435cbe7ae8d8cf11092c6c2ef,ed096321e3b70b2e04de80fb8a796cd95439e2354d27bc1a95e3d6293cbfeac0,ctls,test.salesforce.com,,443,https://stage-intuitb2b.cs125.force.com:443,https,,text/html,GET,13.110.46.14,/,1433417005,13.110.65.14,HSTS,24,False,,,,https://test.salesforce.com,,,
*.system-intuitb2bsys.cs16.force.com,Login | Salesforce,200,11594,AS14340,SALESFORCE,US,136.147.0.0/17,test.salesforce.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-14T00:00:00Z,2023-06-13T23:59:59Z,"CN=test.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",test.salesforce.com,"salesforce.com, inc.",test.cloudforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,24b68e5435cbe7ae8d8cf11092c6c2ef,ed096321e3b70b2e04de80fb8a796cd95439e2354d27bc1a95e3d6293cbfeac0,ctls,test.salesforce.com,,443,https://system-intuitb2bsys.cs16.force.com:443,https,,text/html,GET,136.146.33.44,/,1433417005,136.146.42.44,HSTS,24,False,,,,https://test.salesforce.com,,,
*.tsheets.com,Time Tracking Software for Employees | QuickBooks Time,200,527327,AS16509,AMAZON-02,US,54.184.0.0/13,quickbooks.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,"CN=mktg.intuit.com, O=Intuit Inc., L=San Diego, ST=California, C=US",mktg.intuit.com,Intuit Inc.,accountants.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7aa97b60139d6bae946f566b083822b4,4a4d94f18f8d5189c443301db650e26e1836122fb876bebe933ce1bd82079c5f,ctls,quickbooks.intuit.com,,443,https://tsheets.com:443,https,AmazonS3,text/html,GET,54.189.195.80,/,842595286,52.40.108.220,HSTS,693,False,,,*.intuit.com,https://quickbooks.intuit.com/time-tracking/,,,
*.turbotax.com,"TurboTax® Official Site: File Taxes Online, Tax Filing Made Easy",200,270090,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,turbotax.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-22T00:00:00Z,2023-07-05T23:59:59Z,"CN=turbotax.intuit.com, OU=Technology Operations, O=INTUIT INC., L=San Diego, ST=California, C=US, serialNumber=2324451, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",turbotax.intuit.com,INTUIT INC.,www.turbotax.intuit.ca,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,8592f6668a641a3d6e9fda6235b9ee77,ea8b92d1627fd96aa345ca50978bc8819313ceb9714fbda4176fbfae32c0f7c1,ctls,turbotax.intuit.com,,443,https://turbotax.com:443,https,nginx,text/html,GET,23.56.201.105,/,-1619698419,23.56.201.105,Nginx,7338,False,,,s.amazon-adsystem.com,https://turbotax.intuit.com/,,,
*.turbotaxcommunity.com,403 Forbidden,403,520,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,www.turbotaxcommunity.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-08T07:20:14Z,2024-01-09T07:20:14Z,CN=*.lithium.com,*.lithium.com,,lithium.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d021f0139bef5cd1d2a326cecd0863e0,d247da8523939072f81addf140e1fba7cb357ef33b15eeb4ff744c1d7a1d1592,ctls,www.turbotaxcommunity.com,,443,https://turbotaxcommunity.com:443,https,awselb/2.0,text/html,GET,2.16.238.136,/,2095155567,2.16.238.154,,13,False,,True,,https://www.turbotaxcommunity.com/,True,,
*.zeropaper.com.br,Sistema de Gestão Financeira QuickBooks,200,393852,AS16509,AS16509,Unknown,52.68.0.0/15,quickbooks.intuit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,"CN=mktg.intuit.com, O=Intuit Inc., L=San Diego, ST=California, C=US",mktg.intuit.com,Intuit Inc.,accountants.intuit.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7aa97b60139d6bae946f566b083822b4,4a4d94f18f8d5189c443301db650e26e1836122fb876bebe933ce1bd82079c5f,ctls,quickbooks.intuit.com,,443,https://zeropaper.com.br:443,https,AmazonS3,text/html,GET,52.67.21.223,/,383913889,18.229.58.229,HSTS,596,False,,,*.intuit.com,https://quickbooks.intuit.com/br/,,,
a.api.intuit.com,,404,,AS16509,AS16509,Unknown,35.160.0.0/13,a.api.intuit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2024-05-22T23:59:59Z,"CN=*.intuit.com, O=INTUIT INC., L=San Diego, ST=California, C=US",*.intuit.com,INTUIT INC.,*.quickbooks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e86272bad55eb3a990f343ada64c1f80,affc00fa56bb166f1d35459c7a36a6feb4b2a11b774941abc388221a68614a27,ctls,a.api.intuit.com,,443,https://a.api.intuit.com:443,https,envoy,text/plain,GET,35.160.127.73,/,-1840324437,52.34.161.134,HSTS,1,False,,True,,,True,,
